Country,Place,Start date,End date,Level,url,update,Confirmed
Croatia,,2020-03-18,2020-05-11,National,https://www.theguardian.com/world/live/2020/may/10/coronavirus-live-news-obama-trumps-covid-19--chaotic-as-global-cases-pass-4-million-mexico-russia-germany-south-korea-deaths-,2020-05-10,True
Cuba,,2020-03-23,,National,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_7b694d17a78f2c02d7c76570e1726508,2020-04-23,False
Czech Republic,,2020-03-16,2020-04-17,National,https://www.politico.eu/article/czech-republic-eases-lockdown-restrictions/,2020-04-14,True
Denmark,,2020-03-13,2020-05-10,National,https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain,2020-04-20,True
Dominican Republic,,2020-03-29,2020-05-20,National,https://www.as-coa.org/articles/where-coronavirus-latin-america,2020-05-19,True
Ecuador,,2020-03-24,2020-06-03,National,https://www.eluniverso.com/noticias/2020/06/04/nota/7860942/quito-amarillo-reactivacion-industrias-buses-50-ocupacion,2020-06-11,True
El Salvador,,2020-03-12,2020-08-20,National,https://uk.reuters.com/article/us-health-coronavirus-el-salvador-reopen/el-salvador-sets-out-new-dates-for-economic-reopening-plan-idUKKCN24V3QV,2020-09-01,True
Eritrea,,2020-04-02,2020-04-23,National,http://www.xinhuanet.com/english/2020-04/02/c_138941459.htm,2020-04-04,False
Estonia,,2020-03-12,2020-05-18,National,https://news.err.ee/1091068/prime-minister-estonia-must-be-ready-for-coronavirus-second-wave,2020-05-19,True
Fiji,Lautoka,2020-03-20,2020-04-07,City,https://www.channelnewsasia.com/news/world/fiji-city-sealed-off-as-first-covid-19-case-confirmed-12555438,2020-03-19,False
Fiji,Suva,2020-03-20,2020-04-17,National,https://www.fijivillage.com/news/Suva-lockdown-to-be-lifted-at-5am-tomorrow-while-schools-remain-closed-until-the-15th-of-June-x8f54r/,2020-04-17,True
Finland,Uusimaa,2020-03-27,2020-04-16,Region,https://yle.fi/uutiset/osasto/news/finland_shuts_down_uusimaa_to_fight_coronavirus/11276242,2020-03-27,False
Finland,,2020-03-27,2020-06-01,National,https://newsnowfinland.fi/domestic/new-rules-for-restaurants-cafes-and-bars-introduced-from-1st-june,2020-05-19,True
France,,2020-03-17,2020-05-11,National,https://www.france24.com/en/20200428-live-pm-philippe-unveils-france-s-plan-to-ease-covid-19-lockdown,2020-05-10,True
Georgia,,2020-03-31,2020-06-01,National,https://civil.ge/archives/342486,2020-05-27,True
Germany,,2020-03-17,2020-04-30,National,https://www.theguardian.com/world/live/2020/apr/30/coronavirus-live-news-more-cases-of-covid-linked-syndrome-in-children-as-uk-deaths-top-spain-and-france,2020-05-03,True
Ghana,Accra,2020-03-30,2020-04-12,Metropolitan Area,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-03-30,False
Ghana,Kumasi,2020-03-30,2020-04-12,Metropolitan Area,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-03-30,False
Ghana,,2020-03-30,2020-04-20,National,https://www.aa.com.tr/en/africa/ghana-lifts-partial-coronavirus-lockdown/1811306,2020-04-20,True
Gibraltar,,2020-03-22,2020-05-02,National,https://www.gibraltar.gov.gi/press-releases/press-conference-30th-april-2020-5858,2020-05-27,True
Greece,,2020-03-23,2020-06-01,National,https://www.theguardian.com/world/live/2020/may/10/coronavirus-live-news-obama-trumps-covid-19--chaotic-as-global-cases-pass-4-million-mexico-russia-germany-south-korea-deaths-,2020-05-10,True
Guernsey,,2020-03-25,,National,https://www.bbc.co.uk/news/live/world-europe-guernsey-51999470?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5e7a5199276ca90663acc23d%26%27Strict%27%20lockdown%20measures%20from%20midnight%262020-03-24T19%3A00%3A54.329Z&ns_fee=0&pinned_post_locator=urn:asset:b2bb241b-8081-4dda-906a-73efd8e36889&pinned_post_asset_id=5e7a5199276ca90663acc23d&pinned_post_type=share,2020-03-24,False
Honduras,Central District,2020-03-16,,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,Choluteca,2020-03-16,,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,La Ceiba,2020-03-16,,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,Rest of area,2020-03-20,2020-04-26,National,https://covid19honduras.org/?q=toque-de-queda-absoluto-para-todo-el-pais,2020-04-10,False
Honduras,San Pedro Sula,2020-03-17,,Municipality,https://covid19honduras.org/?q=honduras-tiene-9-casos-confirmados-de-coronavirus,2020-04-10,False
Honduras,,2020-03-15,2020-06-14,National,https://www.asendiausa.com/asendia-insights/service-updates/honduras-continuation-lockdown-2/,2020-06-11,False
Hungary,,2020-03-28,2020-05-04,National,https://www.kormany.hu/en/the-prime-minister/news/we-won-first-battle-against-virus,2020-05-03,True
India,,2020-03-25,2020-06-08,National,https://www.theguardian.com/world/2020/jun/08/india-eases-coronavirus-lockdown-experts-warn-rising-infections,2020-06-11,True
Indonesia,Jakarta,2020-04-10,2020-05-22,Province,,2020-04-23,False
Indonesia,Tegal,2020-03-26,2020-07-31,City,https://jateng.suara.com/read/2020/03/26/142841/pertama-di-indonesia-walikota-umumkan-tegal-lockdown,2020-03-26,False
Indonesia,,2020-04-15,,National,https://www.bloomberg.com/news/articles/2020-04-15/indonesia-set-to-bring-34-million-people-under-partial-lockdown,2020-04-17,False
Iran,,2020-03-24,,National,https://www.rferl.org/a/covid-19-iran-tehran-reopen-afghanistan-russia-azerbaijan/30562733.html,2020-04-20,False
Iraq,,2020-03-24,,National,https://uk.reuters.com/article/uk-health-coronavirus-iraq-curfew/iraq-eases-some-lockdown-restrictions-ahead-of-ramadan-idUKKCN2231QX,2020-04-27,False
Ireland,,2020-03-27,2020-05-18,National,https://www.theguardian.com/world/2020/may/02/ireland-extends-covid-19-lockdown-to-18-may-before-phased-exit,2020-05-10,True
Israel,Bnei Brak,2020-04-02,,City,https://www.timesofisrael.com/liveblog-april-2-2020/,2020-04-02,False
Italy,,2020-03-09,2020-05-04,National,https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain,2020-04-20,True
Jamaica,Saint Catherine,2020-04-15,2020-04-22,Parish,https://jis.gov.jm/st-catherine-covid-19-lockdown/,2020-04-23,False
Jamaica,,2020-04-15,2020-06-01,National,http://www.jamaicaobserver.com/news/PM_says_work-from-home_order_wont_be_renewed_on_May_31_expiration?profile=1754,2020-05-19,True
Japan,Chiba,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Fukuoka,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Hyōgo,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Kanagawa,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Osaka,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Saitama,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Tokyo,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,,2020-04-07,2020-05-26,National,https://thediplomat.com/2020/05/japan-ends-coronavirus-state-of-emergency-aims-to-gradually-reopen-the-economy/,2020-05-27,True
Jordan,,2020-03-18,,National,,2020-04-23,False
Lebanon,,2020-03-22,2020-05-18,National,https://www.arabnews.com/node/1676656/middle-east,2020-05-19,True
Liberia,Margibi,2020-03-23,2020-04-11,County,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus,2020-03-21,False
Liberia,Montserrado,2020-03-23,2020-04-11,County,https://www.liberianobserver.com/news/montserrado-margibi-lockdown-amid-covid-19-fears/,2020-03-30,False
Liberia,,2020-03-23,2020-04-11,Regional,https://www.liberianobserver.com/news/montserrado-margibi-lockdown-amid-covid-19-fears/,2020-05-27,True
Libya,,2020-03-22,,National,https://www.libyaobserver.ly/news/pc-extends-curfew-reduces-restricted-hours,2020-05-27,False
Lithuania,,2020-03-16,2020-05-27,National,https://koronastop.lrv.lt/en/news/relaxing-lockdown-rules,2020-06-11,True
Luxembourg,,2020-03-18,,National,https://www.15min.lt/naujiena/aktualu/lietuva/vyriausybeje-susauktas-pasitarimas-del-koronaviruso-skelbs-tolimesniu-veiksmu-plana-56-1289458,2020-03-24,False
Madagascar,Antananarivo,2020-03-23,,City,https://www.themayor.eu/en/shops-and-restaurants-in-luxembourg-city-wont-pay-rent-during-lockdown,2020-04-10,False
Madagascar,Toamasina,2020-03-23,,City,https://www.news24.com/Africa/News/everyone-stay-at-home-madagascar-orders-lockdown-of-two-main-cities-in-virus-fight-20200323,2020-03-30,False
Madagascar,,2020-03-23,2020-04-20,National,https://medicalxpress.com/news/2020-04-lockdown-madagascar-cities-ease.html,2020-04-20,True
Malaysia,,2020-03-18,2020-06-10,National,https://www.garda.com/crisis24/news-alerts/348781/malaysia-authorities-announce-easing-of-covid-19-measures-from-june-10-update-22,2020-06-11,True
Malta,,2020-03-27,2020-05-04,National,https://www.mondaq.com/government-measures/934440/reopening-of-non-essential-retail-outlets,2020-09-01,True
Mauritius,,2020-03-24,2020-05-15,National,https://www.africanews.com/2020/05/14/virus-free-mauritius-says-covid-19-battle-won-but-war-still-on/,2020-05-19,True
Mayanmar,,2020-03-18,,National,https://www.irrawaddy.com/specials/myanmar-covid-19/yangon-extends-lockdown-measures-myanmars-covid-19-hotspots.html,2020-05-19,False
Mexico,Mexcio,2020-03-21,2020-06-01,National,https://www.as-coa.org/articles/mexico-kick-starts-its-reopening-plan,2020-06-11,True
Mexico,,2020-03-21,2020-04-30,National,https://mx.usembassy.gov/covid-19-information/,2020-04-04,False
Monaco,,2020-03-14,2020-05-04,National,https://lagazettedemonaco.com/en/fin-du-confinement-strict-le-4-mai/,2020-05-03,True
Montenegro,Tuzi,2020-03-24,,Municipality,https://www.nst.com.my/news/nation/2020/03/575177/covid-19-movement-control-order-imposed-only-essential-sectors-operating,2020-03-16,False
Morocco,,2020-03-19,2020-06-09,National,https://uk.reuters.com/article/us-health-coronavirus-morocco/morocco-to-ease-coronavirus-lockdown-measures-idUKKBN23G2ZH,2020-06-11,True
Nepal,,2020-03-24,2020-06-14,National,https://www.hindustantimes.com/world-news/nepal-government-to-ease-coronavirus-lockdown-in-some-areas/story-dnz5M6wKFSEMQ1b1oRsibK.html,2020-06-11,False
Netherlands,,2020-03-16,2020-06-01,National,https://www.bbc.co.uk/news/explainers-52575313,2020-05-27,True
New Zealand,,2020-03-26,2020-05-21,National,https://www.outlookindia.com/outlooktraveller/travelnews/story/70274/new-zealand-bars-reopen-after-two-months-of-lockdown,2020-04-27,True
Nigeria,Abuja,2020-03-30,2020-05-11,City,https://www.pmnewsnigeria.com/2020/05/08/lockdown-abia-announces-gradual-relaxation/,2020-05-27,True
Nigeria,Lagos,2020-03-30,2020-05-11,City,https://www.pmnewsnigeria.com/2020/05/08/lockdown-abia-announces-gradual-relaxation/,2020-05-27,True
Nigeria,Ogun,2020-03-30,2020-05-11,City,https://www.pmnewsnigeria.com/2020/05/08/lockdown-abia-announces-gradual-relaxation/,2020-05-27,True
Norway,,2020-03-12,2020-04-27,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-14,True
Oman,2 Places,2020-04-10,2020-05-29,Regional,https://www.thearabianstories.com/2020/05/27/covid-19-checkpoints-in-wilayat-muttrah-to-continue-says-rop/,2020-06-11,True
Oman,Jalan Bani Bu Ali,2020-04-16,,Province,https://www.omanobserver.om/lockdown/,2020-04-08,False
Oman,Muscat,2020-04-10,2020-05-08,Governorate,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter,2020-03-25,False
Oman,Muskat,2020-04-10,2020-05-24,Region,https://www.argusmedia.com/en/news/2102855-oman-extends-muscat-lockdown-until-29-may,2020-05-10,False
Pakistan,,2020-03-24,2020-05-10,National,https://gandhara.rferl.org/a/pakistan-to-lift-virus-lockdown-on-may-10-despite-spike-in-cases/30599418.html,2020-05-10,True
Panama,,2020-03-25,,National,https://www.laestrella.com.pa/nacional/200511/gobierno-anuncia-apertura-actividad-economica-13-mayo,2020-05-19,False
Paraguay,,2020-03-20,,National,https://www.nytimes.com/reuters/2020/04/24/world/americas/24reuters-health-coronavirus-paraguay.html,2020-04-27,False
Peru,,2020-03-16,2020-06-30,National,https://www.as-coa.org/articles/where-coronavirus-latin-america,2020-05-27,False
Philippines,Cebu,2020-03-27,2020-05-15,Province,https://gestion.pe/peru/politica/coronavirus-en-peru-gobierno-anuncia-cuarentena-obligatorio-por-15-dias-por-coronavirus-noticia/,2020-03-27,False
Philippines,Davao Region,2020-03-19,2020-04-30,Region,https://www.cnnphilippines.com/regional/2020/3/26/Cebu-Province-enhanced-community-quarantine.html,2020-03-31,False
Philippines,Luzon,2020-03-15,2020-04-30,Island group,https://www.rappler.com/nation/255097-davao-region-coronavirus-lockdown-begins,2020-03-25,False
Philippines,Soccsksargen,2020-03-23,2020-04-30,Region,https://www.philstar.com/headlines/2020/03/12/2000209/travel-and-manila-suspended-march-15-code-red-sublevel-2-raised-over-covid-19?fbclid=IwAR3AAILu_dcJdaSsjyrRDkaPvgc-djCiwGBgTc_13DWyg8E05B3vsxz02PE,2020-03-12,False
Philippines,,2020-03-15,2020-05-31,National,https://www.gmanetwork.com/news/news/nation/738392/metro-manila-laguna-cebu-city-shift-to-modified-ecq/story/,2020-05-27,True
Poland,,2020-03-13,2020-05-04,National,https://notesfrompoland.com/2020/04/29/poland-reopens-shopping-centres-preschools-and-cultural-institutions-in-unfreezing-of-lockdown/,2020-05-03,True
Portugal,,2020-03-19,2020-05-04,National,https://uk.reuters.com/article/uk-health-coronavirus-portugal/portugal-relaxes-coronavirus-lockdown-with-sector-by-sector-plan-idUKKBN22C37I,2020-05-03,True
Puerto Rico,,2020-03-15,2020-05-25,National,http://www.mondaq.com/operational-impacts-and-strategy/939836/governor-of-puerto-rico-extends-curfew-and-relaxes-lockdown,2020-05-27,True
Qatar,Doha Industrial Area,2020-03-11,,Industrial park,https://www.theportugalnews.com/news/state-of-emergency-explained/53448,2020-03-25,False
Republic of the Congo,,2020-03-31,2020-07-22,National,https://www.africanews.com/2020/07/22/dr-congo-president-announces-lifting-of-virus-restrictions//,2020-09-01,True
Romania,,2020-03-25,2020-05-12,National,https://www.garda.com/crisis24/news-alerts/329636/romania-government-to-extend-covid-19-state-of-emergency-by-30-days-from-week-of-april-13-update-5,2020-05-27,True
Russia,,2020-03-30,2020-06-01,National,https://www.themoscowtimes.com/2020/06/08/russias-shops-reopen-customers-trickle-a70502,2020-09-01,True
Rwanda,,2020-03-21,2020-05-04,National,https://www.theeastafrican.co.ke/news/ea/Rwanda-partially-lifts-coronavirus-lockdown/4552908-5539612-yxgy7b/index.html,2020-05-03,True
Saudi Arabia,,2020-03-03,2020-06-05,National,https://us-sabc.org/what-you-need-to-know-saudi-arabias-re-opening-as-part-of-the-governments-coronavirus-strategy/,2020-09-01,True
Senegal,,2020-03-30,2020-05-02,National,https://www.aa.com.tr/en/africa/covid-19-senegal-uganda-postpone-school-reopening/1861983,2020-09-01,True
Sierra Leone,,2020-04-04,2020-05-06,National,https://www.garda.com/crisis24/news-alerts/338251/sierra-leone-three-day-lockdown-to-be-introduced-from-may-3-update-8,2020-05-27,True
Singapore,,2020-04-07,2020-06-02,National,https://www.aa.com.tr/en/asia-pacific/singapore-to-lift-coronavirus-lockdown-in-3-phases/1847154,2020-06-11,True
Slovakia,,2020-03-16,2020-05-06,National,https://au.news.yahoo.com/slovakia-emerges-lockdown-businesses-reopen-190511439--spt.html,2020-09-01,True
Slovenia,,2020-03-14,2020-05-04,National,https://www.total-slovenia-news.com/business/6066-coronavirus-slovenia-more-stores-will-re-open-monday-hair-salons-may-4,2020-09-01,True
South Africa,,2020-03-26,2020-05-01,National,https://www.aljazeera.com/news/2020/05/eat-south-africa-eases-coronavirus-lockdown-200501072927207.html,2020-05-03,True
Spain,,2020-03-14,2020-05-11,National,https://www.theguardian.com/world/2020/may/08/global-report-spain-and-italy-grapple-with-how-to-end-covid-19-lockdown,2020-05-10,True
Sri Lanka,,2020-03-20,2020-05-10,National,https://www.thehindubusinessline.com/news/world/sri-lanka-bracing-to-end-lockdown-with-partial-opening/article31551416.ece,2020-05-10,True
Switzerland,,2020-03-17,2020-05-11,National,https://www.cnbc.com/2020/04/16/switzerland-to-start-easing-covid-19-restrictions-from-april-27.html,2020-09-01,True
Thailand,,2020-03-25,2020-05-03,National,https://www.straitstimes.com/asia/se-asia/coronavirus-thailand-begins-easing-lockdown-measures,2020-05-03,True
Trinidad and Tobago,,2020-03-17,2020-06-01,National,https://www.looptt.com/content/retail-stores-public-service-malls-bookstores-reopen-monday,2020-09-01,True
Tunisia,,2020-03-22,2020-05-04,National,https://www.garda.com/crisis24/news-alerts/337711/tunisia-lockdown-measures-to-ease-from-may-4-update-8,2020-05-03,True
Turkey,,2020-04-11,2020-05-09,National,https://www.dailysabah.com/business/economy/turkish-malls-reopen-after-nearly-2-month-closure,2020-09-01,True
Ukraine,,2020-03-17,2020-05-11,National,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ukraine,2020-05-19,True
United Arab Emirates,,2020-03-22,2020-04-24,National,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T,2020-05-10,True
United Kingdom,,2020-03-24,2020-06-15,National,https://www.bbc.co.uk/news/uk-52801727,2020-05-27,True
United States,Alabama,2020-03-18,2020-04-30,State,https://www.wsj.com/articles/a-state-by-state-guide-to-coronavirus-lockdowns-11584749351,2020-05-03,True
United States,Alaska,2020-03-28,2020-04-30,State,https://www.wsj.com/articles/a-state-by-state-guide-to-coronavirus-lockdowns-11584749351,2020-05-03,True
United States,Arizona,2020-03-31,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Arkansas,2020-03-19,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,California,2020-03-19,2020-05-25,State,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,2020-09-01,True
United States,Colorado,2020-03-26,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Connecticut,2020-03-23,2020-05-20,State,https://www.ctpost.com/news/coronavirus/slideshow/CT-malls-and-major-retailers-opening-in-phase-1-202512.php,2020-05-27,True
United States,Delaware,2020-03-24,2020-05-08,State,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/05/Delaware-Economic-Reopening-Guidance_Phase.pdf,2020-05-19,True
United States,Florida,2020-04-03,2020-05-04,State,https://www.huschblackwell.com/florida-state-by-state-covid-19-guidance,2020-05-03,True
United States,Georgia,2020-04-03,2020-04-24,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Hawaii,2020-03-25,2020-05-15,State,https://www.bizjournals.com/pacific/news/2020/05/05/ige-to-begin-first-phase-of-reopening-hawaii.html,2020-06-11,True
United States,Idaho,2020-03-25,2020-05-16,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Illinois,2020-03-21,2020-05-29,State,https://www.nbcchicago.com/news/local/when-could-phase-four-of-illinois-reopening-plan-begin/2286392/,2020-06-11,True
United States,Indiana,2020-03-24,2020-05-04,State,https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html,2020-05-03,True
United States,Iowa,2020-03-25,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Kansas,2020-03-30,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Kentucky,2020-03-23,2020-05-20,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Louisiana,2020-03-23,2020-05-15,State,https://gov.louisiana.gov/index.cfm/newsroom/detail/2488?mod=article_inline,2020-05-19,True
United States,Maine,2020-04-02,2020-06-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Maryland,2020-03-30,2020-05-15,State,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,2020-09-01,True
United States,Massachusetts,2020-03-24,2020-05-25,State,https://www.bostonglobe.com/2020/05/25/metro/what-you-need-know-about-this-weeks-reopening/?p1=Article_Inline_Text_Link,2020-05-27,True
United States,Michigan,2020-03-24,2020-05-27,State,https://www.mlive.com/public-interest/2020/05/michigan-malls-reopening-as-coronavirus-restrictions-loosen.html,2020-06-11,True
